"time","sample_id","variable","value","horizon","treatment","ftc"
"initial","OTB-101","flux_mgC_g_hr",1.97,"B","freeze-thaw",1
"initial","OTB-102","flux_mgC_g_hr",2.74,"B","freeze-thaw",1
"initial","OTB-103","flux_mgC_g_hr",1.9,"B","freeze-thaw",1
"initial","OTB-104","flux_mgC_g_hr",1.5,"B","freeze-thaw",1
"initial","OTB-105","flux_mgC_g_hr",1.95,"B","freeze-thaw",1
"initial","OTB-201","flux_mgC_g_hr",1.78,"B","freeze-thaw",2
"initial","OTB-202","flux_mgC_g_hr",2.51,"B","freeze-thaw",2
"initial","OTB-203","flux_mgC_g_hr",1.35,"B","freeze-thaw",2
"initial","OTB-204","flux_mgC_g_hr",2.15,"B","freeze-thaw",2
"initial","OTB-205","flux_mgC_g_hr",2.04,"B","freeze-thaw",2
"initial","OTB-301","flux_mgC_g_hr",1.29,"B","freeze-thaw",6
"initial","OTB-302","flux_mgC_g_hr",2.15,"B","freeze-thaw",6
"initial","OTB-303","flux_mgC_g_hr",2.63,"B","freeze-thaw",6
"initial","OTB-304","flux_mgC_g_hr",1.84,"B","freeze-thaw",6
"initial","OTB-305","flux_mgC_g_hr",3.11,"B","freeze-thaw",6
"initial","OTB-401","flux_mgC_g_hr",2.06,"B","control",NA
"initial","OTB-402","flux_mgC_g_hr",1.03,"B","control",NA
"initial","OTB-403","flux_mgC_g_hr",1.43,"B","control",NA
"initial","OTB-404","flux_mgC_g_hr",2.1,"B","control",NA
"initial","OTB-405","flux_mgC_g_hr",1.09,"B","control",NA
"initial","OTO-101","flux_mgC_g_hr",20.83,"O","freeze-thaw",1
"initial","OTO-102","flux_mgC_g_hr",12.42,"O","freeze-thaw",1
"initial","OTO-103","flux_mgC_g_hr",17,"O","freeze-thaw",1
"initial","OTO-104","flux_mgC_g_hr",6.56,"O","freeze-thaw",1
"initial","OTO-105","flux_mgC_g_hr",34,"O","freeze-thaw",1
"initial","OTO-201","flux_mgC_g_hr",25.84,"O","freeze-thaw",2
"initial","OTO-202","flux_mgC_g_hr",23.51,"O","freeze-thaw",2
"initial","OTO-203","flux_mgC_g_hr",7.16,"O","freeze-thaw",2
"initial","OTO-204","flux_mgC_g_hr",4.7,"O","freeze-thaw",2
"initial","OTO-205","flux_mgC_g_hr",13.67,"O","freeze-thaw",2
"initial","OTO-301","flux_mgC_g_hr",8.37,"O","freeze-thaw",6
"initial","OTO-302","flux_mgC_g_hr",5.39,"O","freeze-thaw",6
"initial","OTO-303","flux_mgC_g_hr",28.85,"O","freeze-thaw",6
"initial","OTO-304","flux_mgC_g_hr",19.61,"O","freeze-thaw",6
"initial","OTO-305","flux_mgC_g_hr",22.45,"O","freeze-thaw",6
