"time","sample_id","variable","value","horizon","treatment","ftc"
"initial","OTO-401","flux_mgC_g_hr",3.31,"O","control",NA
"initial","OTO-402","flux_mgC_g_hr",23.74,"O","control",NA
"initial","OTO-403","flux_mgC_g_hr",16.81,"O","control",NA
"initial","OTO-404","flux_mgC_g_hr",22.28,"O","control",NA
"initial","OTO-405","flux_mgC_g_hr",21.55,"O","control",NA
"post-freeze","OTB-101","flux_mgC_g_hr",1.82,"B","freeze-thaw",1
"post-freeze","OTB-102","flux_mgC_g_hr",1.64,"B","freeze-thaw",1
"post-freeze","OTB-103","flux_mgC_g_hr",2.06,"B","freeze-thaw",1
"post-freeze","OTB-104","flux_mgC_g_hr",1.92,"B","freeze-thaw",1
"post-freeze","OTB-105","flux_mgC_g_hr",3.25,"B","freeze-thaw",1
"post-freeze","OTB-201","flux_mgC_g_hr",2.14,"B","freeze-thaw",2
"post-freeze","OTB-202","flux_mgC_g_hr",2.17,"B","freeze-thaw",2
"post-freeze","OTB-203","flux_mgC_g_hr",2.55,"B","freeze-thaw",2
"post-freeze","OTB-204","flux_mgC_g_hr",2.15,"B","freeze-thaw",2
"post-freeze","OTB-205","flux_mgC_g_hr",2.38,"B","freeze-thaw",2
"post-freeze","OTB-301","flux_mgC_g_hr",2.21,"B","freeze-thaw",6
"post-freeze","OTB-302","flux_mgC_g_hr",2.69,"B","freeze-thaw",6
"post-freeze","OTB-303","flux_mgC_g_hr",2.81,"B","freeze-thaw",6
"post-freeze","OTB-304","flux_mgC_g_hr",2.39,"B","freeze-thaw",6
"post-freeze","OTB-305","flux_mgC_g_hr",2.02,"B","freeze-thaw",6
"post-freeze","OTB-401","flux_mgC_g_hr",1.44,"B","control",NA
"post-freeze","OTB-402","flux_mgC_g_hr",0.41,"B","control",NA
"post-freeze","OTB-403","flux_mgC_g_hr",1.02,"B","control",NA
"post-freeze","OTB-404","flux_mgC_g_hr",0.63,"B","control",NA
"post-freeze","OTB-405","flux_mgC_g_hr",1.4,"B","control",NA
"post-freeze","OTO-101","flux_mgC_g_hr",8.68,"O","freeze-thaw",1
"post-freeze","OTO-102","flux_mgC_g_hr",2.66,"O","freeze-thaw",1
"post-freeze","OTO-103","flux_mgC_g_hr",3.02,"O","freeze-thaw",1
"post-freeze","OTO-104","flux_mgC_g_hr",1.93,"O","freeze-thaw",1
"post-freeze","OTO-105","flux_mgC_g_hr",3.32,"O","freeze-thaw",1
"post-freeze","OTO-201","flux_mgC_g_hr",2.78,"O","freeze-thaw",2
"post-freeze","OTO-202","flux_mgC_g_hr",2.17,"O","freeze-thaw",2
"post-freeze","OTO-203","flux_mgC_g_hr",3.25,"O","freeze-thaw",2
"post-freeze","OTO-204","flux_mgC_g_hr",1.96,"O","freeze-thaw",2
"post-freeze","OTO-205","flux_mgC_g_hr",2.59,"O","freeze-thaw",2
"post-freeze","OTO-301","flux_mgC_g_hr",3.05,"O","freeze-thaw",6
"post-freeze","OTO-302","flux_mgC_g_hr",0.95,"O","freeze-thaw",6
"post-freeze","OTO-303","flux_mgC_g_hr",0.96,"O","freeze-thaw",6
"post-freeze","OTO-304","flux_mgC_g_hr",1.58,"O","freeze-thaw",6
"post-freeze","OTO-305","flux_mgC_g_hr",1.6,"O","freeze-thaw",6
"post-freeze","OTO-401","flux_mgC_g_hr",1.66,"O","control",NA
"post-freeze","OTO-402","flux_mgC_g_hr",2.3,"O","control",NA
"post-freeze","OTO-403","flux_mgC_g_hr",1.2,"O","control",NA
"post-freeze","OTO-404","flux_mgC_g_hr",1.86,"O","control",NA
"post-freeze","OTO-405","flux_mgC_g_hr",1.86,"O","control",NA
"initial","OTO-101","nh4_mg_kg",44.29,"O","freeze-thaw",1
"initial","OTO-102","nh4_mg_kg",41.56,"O","freeze-thaw",1
"initial","OTO-103","nh4_mg_kg",41.8,"O","freeze-thaw",1
"initial","OTO-104","nh4_mg_kg",40.86,"O","freeze-thaw",1
"initial","OTO-105","nh4_mg_kg",38.85,"O","freeze-thaw",1
"initial","OTO-201","nh4_mg_kg",41.3,"O","freeze-thaw",2
"initial","OTO-202","nh4_mg_kg",37.95,"O","freeze-thaw",2
"initial","OTO-203","nh4_mg_kg",44.02,"O","freeze-thaw",2
"initial","OTO-204","nh4_mg_kg",43.43,"O","freeze-thaw",2
"initial","OTO-205","nh4_mg_kg",38.66,"O","freeze-thaw",2
"initial","OTO-301","nh4_mg_kg",50.64,"O","freeze-thaw",6
"initial","OTO-302","nh4_mg_kg",46.13,"O","freeze-thaw",6
"initial","OTO-304","nh4_mg_kg",48.74,"O","freeze-thaw",6
"initial","OTO-305","nh4_mg_kg",45.18,"O","freeze-thaw",6
"initial","OTO-401","nh4_mg_kg",45.89,"O","control",NA
"initial","OTO-402","nh4_mg_kg",39.11,"O","control",NA
"initial","OTO-403","nh4_mg_kg",46.12,"O","control",NA
"initial","OTO-404","nh4_mg_kg",43.34,"O","control",NA
"initial","OTB-101","nh4_mg_kg",2.03,"B","freeze-thaw",1
"initial","OTB-102","nh4_mg_kg",1.81,"B","freeze-thaw",1
"initial","OTB-103","nh4_mg_kg",1.9,"B","freeze-thaw",1
"initial","OTB-104","nh4_mg_kg",1.86,"B","freeze-thaw",1
"initial","OTB-105","nh4_mg_kg",2.31,"B","freeze-thaw",1
"initial","OTB-201","nh4_mg_kg",1.79,"B","freeze-thaw",2
"initial","OTB-202","nh4_mg_kg",1.8,"B","freeze-thaw",2
"initial","OTB-203","nh4_mg_kg",1.9,"B","freeze-thaw",2
"initial","OTB-204","nh4_mg_kg",2.17,"B","freeze-thaw",2
"initial","OTB-205","nh4_mg_kg",1.92,"B","freeze-thaw",2
"initial","OTB-301","nh4_mg_kg",2.09,"B","freeze-thaw",6
"initial","OTB-302","nh4_mg_kg",2.16,"B","freeze-thaw",6
"initial","OTB-303","nh4_mg_kg",2.16,"B","freeze-thaw",6
"initial","OTB-304","nh4_mg_kg",2.12,"B","freeze-thaw",6
"initial","OTB-305","nh4_mg_kg",2.36,"B","freeze-thaw",6
"initial","OTB-401","nh4_mg_kg",1.98,"B","control",NA
"initial","OTB-402","nh4_mg_kg",2.39,"B","control",NA
"initial","OTB-403","nh4_mg_kg",2.18,"B","control",NA
"initial","OTB-404","nh4_mg_kg",2.05,"B","control",NA
"initial","OTB-405","nh4_mg_kg",2.1,"B","control",NA
"post-freeze","OTO-101","nh4_mg_kg",156.67,"O","freeze-thaw",1
"post-freeze","OTO-102","nh4_mg_kg",136.22,"O","freeze-thaw",1
"post-freeze","OTO-103","nh4_mg_kg",132.87,"O","freeze-thaw",1
"post-freeze","OTO-104","nh4_mg_kg",159.85,"O","freeze-thaw",1
"post-freeze","OTO-105","nh4_mg_kg",148.29,"O","freeze-thaw",1
"post-freeze","OTO-201","nh4_mg_kg",170.22,"O","freeze-thaw",2
"post-freeze","OTO-202","nh4_mg_kg",153.99,"O","freeze-thaw",2
"post-freeze","OTO-203","nh4_mg_kg",141.06,"O","freeze-thaw",2
"post-freeze","OTO-204","nh4_mg_kg",182.69,"O","freeze-thaw",2
"post-freeze","OTO-205","nh4_mg_kg",159.31,"O","freeze-thaw",2
"post-freeze","OTO-301","nh4_mg_kg",158.1,"O","freeze-thaw",6
"post-freeze","OTO-302","nh4_mg_kg",166.96,"O","freeze-thaw",6
"post-freeze","OTO-303","nh4_mg_kg",170.68,"O","freeze-thaw",6
"post-freeze","OTO-304","nh4_mg_kg",166.7,"O","freeze-thaw",6
"post-freeze","OTO-305","nh4_mg_kg",161.93,"O","freeze-thaw",6
"post-freeze","OTO-401","nh4_mg_kg",75.75,"O","control",NA
"post-freeze","OTO-402","nh4_mg_kg",74.97,"O","control",NA
"post-freeze","OTO-403","nh4_mg_kg",71.47,"O","control",NA
"post-freeze","OTO-404","nh4_mg_kg",76.49,"O","control",NA
"post-freeze","OTO-405","nh4_mg_kg",74.31,"O","control",NA
"post-freeze","OTB-101","nh4_mg_kg",6.26,"B","freeze-thaw",1
"post-freeze","OTB-102","nh4_mg_kg",7.04,"B","freeze-thaw",1
"post-freeze","OTB-103","nh4_mg_kg",7,"B","freeze-thaw",1
"post-freeze","OTB-104","nh4_mg_kg",6.71,"B","freeze-thaw",1
"post-freeze","OTB-105","nh4_mg_kg",6.96,"B","freeze-thaw",1
"post-freeze","OTB-201","nh4_mg_kg",7.79,"B","freeze-thaw",2
"post-freeze","OTB-202","nh4_mg_kg",6.83,"B","freeze-thaw",2
"post-freeze","OTB-203","nh4_mg_kg",7.58,"B","freeze-thaw",2
"post-freeze","OTB-204","nh4_mg_kg",6.97,"B","freeze-thaw",2
"post-freeze","OTB-205","nh4_mg_kg",6.5,"B","freeze-thaw",2
"post-freeze","OTB-301","nh4_mg_kg",8.24,"B","freeze-thaw",6
"post-freeze","OTB-302","nh4_mg_kg",7.95,"B","freeze-thaw",6
"post-freeze","OTB-303","nh4_mg_kg",8.54,"B","freeze-thaw",6
"post-freeze","OTB-304","nh4_mg_kg",8.98,"B","freeze-thaw",6
"post-freeze","OTB-305","nh4_mg_kg",7.54,"B","freeze-thaw",6
"post-freeze","OTB-401","nh4_mg_kg",2.18,"B","control",NA
"post-freeze","OTB-402","nh4_mg_kg",2.07,"B","control",NA
"post-freeze","OTB-403","nh4_mg_kg",2.18,"B","control",NA
"post-freeze","OTB-404","nh4_mg_kg",2.13,"B","control",NA
"post-freeze","OTB-405","nh4_mg_kg",2.12,"B","control",NA
"initial","OTO-101","suva_L_mg_m",4.59,"O","freeze-thaw",1
"initial","OTO-102","suva_L_mg_m",4.71,"O","freeze-thaw",1
"initial","OTO-103","suva_L_mg_m",4.76,"O","freeze-thaw",1
"initial","OTO-104","suva_L_mg_m",4.59,"O","freeze-thaw",1
"initial","OTO-105","suva_L_mg_m",3.01,"O","freeze-thaw",1
"initial","OTO-201","suva_L_mg_m",4.71,"O","freeze-thaw",2
"initial","OTO-202","suva_L_mg_m",4.86,"O","freeze-thaw",2
"initial","OTO-203","suva_L_mg_m",4.84,"O","freeze-thaw",2
"initial","OTO-204","suva_L_mg_m",4.81,"O","freeze-thaw",2
"initial","OTO-205","suva_L_mg_m",4.94,"O","freeze-thaw",2
"initial","OTO-301","suva_L_mg_m",4.8,"O","freeze-thaw",6
"initial","OTO-302","suva_L_mg_m",4.99,"O","freeze-thaw",6
"initial","OTO-303","suva_L_mg_m",4.83,"O","freeze-thaw",6
"initial","OTO-304","suva_L_mg_m",4.79,"O","freeze-thaw",6
"initial","OTO-305","suva_L_mg_m",4.86,"O","freeze-thaw",6
"initial","OTO-401","suva_L_mg_m",4.86,"O","control",NA
"initial","OTO-402","suva_L_mg_m",4.88,"O","control",NA
"initial","OTO-403","suva_L_mg_m",4.9,"O","control",NA
"initial","OTO-404","suva_L_mg_m",5,"O","control",NA
"initial","OTO-405","suva_L_mg_m",4.93,"O","control",NA
"initial","OTB-101","suva_L_mg_m",2.29,"B","freeze-thaw",1
"initial","OTB-102","suva_L_mg_m",3.44,"B","freeze-thaw",1
"initial","OTB-103","suva_L_mg_m",2.89,"B","freeze-thaw",1
"initial","OTB-104","suva_L_mg_m",5.88,"B","freeze-thaw",1
"initial","OTB-105","suva_L_mg_m",3.79,"B","freeze-thaw",1
"initial","OTB-201","suva_L_mg_m",2.57,"B","freeze-thaw",2
"initial","OTB-202","suva_L_mg_m",3.23,"B","freeze-thaw",2
"initial","OTB-203","suva_L_mg_m",4.35,"B","freeze-thaw",2
"initial","OTB-204","suva_L_mg_m",2.33,"B","freeze-thaw",2
"initial","OTB-205","suva_L_mg_m",2.78,"B","freeze-thaw",2
"initial","OTB-301","suva_L_mg_m",1.93,"B","freeze-thaw",6
"initial","OTB-302","suva_L_mg_m",2.94,"B","freeze-thaw",6
"initial","OTB-303","suva_L_mg_m",1.17,"B","freeze-thaw",6
"initial","OTB-304","suva_L_mg_m",2.22,"B","freeze-thaw",6
"initial","OTB-305","suva_L_mg_m",2.78,"B","freeze-thaw",6
"initial","OTB-401","suva_L_mg_m",1.84,"B","control",NA
"initial","OTB-402","suva_L_mg_m",2.43,"B","control",NA
"initial","OTB-403","suva_L_mg_m",2.05,"B","control",NA
"initial","OTB-404","suva_L_mg_m",2.5,"B","control",NA
"initial","OTB-405","suva_L_mg_m",2.31,"B","control",NA
"post-freeze","OTO-101","suva_L_mg_m",3.68,"O","freeze-thaw",1
"post-freeze","OTO-102","suva_L_mg_m",3.96,"O","freeze-thaw",1
"post-freeze","OTO-103","suva_L_mg_m",4,"O","freeze-thaw",1
"post-freeze","OTO-104","suva_L_mg_m",3.77,"O","freeze-thaw",1
"post-freeze","OTO-105","suva_L_mg_m",4.23,"O","freeze-thaw",1
"post-freeze","OTO-201","suva_L_mg_m",3.52,"O","freeze-thaw",2
"post-freeze","OTO-202","suva_L_mg_m",3.73,"O","freeze-thaw",2
"post-freeze","OTO-203","suva_L_mg_m",3.8,"O","freeze-thaw",2
"post-freeze","OTO-204","suva_L_mg_m",3.64,"O","freeze-thaw",2
"post-freeze","OTO-205","suva_L_mg_m",3.47,"O","freeze-thaw",2
"post-freeze","OTO-301","suva_L_mg_m",3.44,"O","freeze-thaw",6
"post-freeze","OTO-302","suva_L_mg_m",3.85,"O","freeze-thaw",6
"post-freeze","OTO-303","suva_L_mg_m",3.86,"O","freeze-thaw",6
"post-freeze","OTO-304","suva_L_mg_m",4.08,"O","freeze-thaw",6
"post-freeze","OTO-305","suva_L_mg_m",4.26,"O","freeze-thaw",6
"post-freeze","OTO-401","suva_L_mg_m",4.98,"O","control",NA
"post-freeze","OTO-402","suva_L_mg_m",5.11,"O","control",NA
"post-freeze","OTO-403","suva_L_mg_m",4.88,"O","control",NA
"post-freeze","OTO-404","suva_L_mg_m",4.84,"O","control",NA
"post-freeze","OTO-405","suva_L_mg_m",4.89,"O","control",NA
"post-freeze","OTB-101","suva_L_mg_m",1.58,"B","freeze-thaw",1
"post-freeze","OTB-102","suva_L_mg_m",1.74,"B","freeze-thaw",1
"post-freeze","OTB-103","suva_L_mg_m",1.71,"B","freeze-thaw",1
"post-freeze","OTB-104","suva_L_mg_m",1.53,"B","freeze-thaw",1
"post-freeze","OTB-105","suva_L_mg_m",1.44,"B","freeze-thaw",1
"post-freeze","OTB-201","suva_L_mg_m",1.68,"B","freeze-thaw",2
"post-freeze","OTB-202","suva_L_mg_m",1.45,"B","freeze-thaw",2
"post-freeze","OTB-203","suva_L_mg_m",1.61,"B","freeze-thaw",2
"post-freeze","OTB-204","suva_L_mg_m",1.7,"B","freeze-thaw",2
"post-freeze","OTB-205","suva_L_mg_m",1.3,"B","freeze-thaw",2
"post-freeze","OTB-301","suva_L_mg_m",1.26,"B","freeze-thaw",6
"post-freeze","OTB-302","suva_L_mg_m",1.49,"B","freeze-thaw",6
"post-freeze","OTB-303","suva_L_mg_m",1.87,"B","freeze-thaw",6
"post-freeze","OTB-304","suva_L_mg_m",1.82,"B","freeze-thaw",6
"post-freeze","OTB-305","suva_L_mg_m",2.13,"B","freeze-thaw",6
"post-freeze","OTB-401","suva_L_mg_m",0.99,"B","control",NA
"post-freeze","OTB-402","suva_L_mg_m",0.67,"B","control",NA
"post-freeze","OTB-403","suva_L_mg_m",0.75,"B","control",NA
"post-freeze","OTB-404","suva_L_mg_m",0.62,"B","control",NA
"post-freeze","OTB-405","suva_L_mg_m",2.63,"B","control",NA
"post-freeze","OTO-101","tc_perc",39.9,"O","freeze-thaw",1
"post-freeze","OTO-102","tc_perc",37.8,"O","freeze-thaw",1
"post-freeze","OTO-103","tc_perc",40.1,"O","freeze-thaw",1
"post-freeze","OTO-104","tc_perc",39.6,"O","freeze-thaw",1
"post-freeze","OTO-105","tc_perc",40.6,"O","freeze-thaw",1
"post-freeze","OTO-201","tc_perc",38.1,"O","freeze-thaw",2
"post-freeze","OTO-202","tc_perc",40.1,"O","freeze-thaw",2
"post-freeze","OTO-203","tc_perc",40.4,"O","freeze-thaw",2
"post-freeze","OTO-204","tc_perc",40.4,"O","freeze-thaw",2
"post-freeze","OTO-205","tc_perc",37.6,"O","freeze-thaw",2
"post-freeze","OTO-301","tc_perc",39.3,"O","freeze-thaw",6
"post-freeze","OTO-302","tc_perc",39.7,"O","freeze-thaw",6
"post-freeze","OTO-303","tc_perc",37.8,"O","freeze-thaw",6
"post-freeze","OTO-304","tc_perc",38.6,"O","freeze-thaw",6
"post-freeze","OTO-401","tc_perc",38,"O","control",NA
"post-freeze","OTO-402","tc_perc",38.1,"O","control",NA
"post-freeze","OTO-403","tc_perc",39.1,"O","control",NA
"post-freeze","OTO-404","tc_perc",39.3,"O","control",NA
"post-freeze","OTO-405","tc_perc",39.8,"O","control",NA
"post-freeze","OTB-101","tc_perc",3.24,"B","freeze-thaw",1
"post-freeze","OTB-102","tc_perc",3.64,"B","freeze-thaw",1
"post-freeze","OTB-103","tc_perc",3.27,"B","freeze-thaw",1
"post-freeze","OTB-104","tc_perc",3.31,"B","freeze-thaw",1
"post-freeze","OTB-105","tc_perc",3.28,"B","freeze-thaw",1
"post-freeze","OTB-201","tc_perc",3.3,"B","freeze-thaw",2
"post-freeze","OTB-202","tc_perc",3.07,"B","freeze-thaw",2
"post-freeze","OTB-203","tc_perc",3.18,"B","freeze-thaw",2
"post-freeze","OTB-204","tc_perc",3.32,"B","freeze-thaw",2
"post-freeze","OTB-205","tc_perc",3.4,"B","freeze-thaw",2
"post-freeze","OTB-301","tc_perc",3.27,"B","freeze-thaw",6
"post-freeze","OTB-302","tc_perc",3.4,"B","freeze-thaw",6
"post-freeze","OTB-303","tc_perc",3.18,"B","freeze-thaw",6
"post-freeze","OTB-304","tc_perc",3.34,"B","freeze-thaw",6
"post-freeze","OTB-305","tc_perc",3.18,"B","freeze-thaw",6
"post-freeze","OTB-401","tc_perc",3.48,"B","control",NA
"post-freeze","OTB-402","tc_perc",3.31,"B","control",NA
"post-freeze","OTB-403","tc_perc",3.4,"B","control",NA
"post-freeze","OTB-404","tc_perc",3.27,"B","control",NA
"post-freeze","OTB-405","tc_perc",3.21,"B","control",NA
"post-freeze","OTO-101","tn_perc",1.26,"O","freeze-thaw",1
"post-freeze","OTO-102","tn_perc",1.17,"O","freeze-thaw",1
"post-freeze","OTO-103","tn_perc",1.23,"O","freeze-thaw",1
"post-freeze","OTO-104","tn_perc",1.26,"O","freeze-thaw",1
"post-freeze","OTO-105","tn_perc",1.28,"O","freeze-thaw",1
"post-freeze","OTO-201","tn_perc",1.19,"O","freeze-thaw",2
"post-freeze","OTO-202","tn_perc",1.26,"O","freeze-thaw",2
"post-freeze","OTO-203","tn_perc",1.29,"O","freeze-thaw",2
"post-freeze","OTO-204","tn_perc",1.25,"O","freeze-thaw",2
"post-freeze","OTO-205","tn_perc",1.2,"O","freeze-thaw",2
"post-freeze","OTO-301","tn_perc",1.21,"O","freeze-thaw",6
"post-freeze","OTO-302","tn_perc",1.23,"O","freeze-thaw",6
"post-freeze","OTO-303","tn_perc",1.17,"O","freeze-thaw",6
"post-freeze","OTO-304","tn_perc",1.19,"O","freeze-thaw",6
"post-freeze","OTO-401","tn_perc",1.18,"O","control",NA
"post-freeze","OTO-402","tn_perc",1.2,"O","control",NA
"post-freeze","OTO-403","tn_perc",1.26,"O","control",NA
"post-freeze","OTO-404","tn_perc",1.22,"O","control",NA
"post-freeze","OTO-405","tn_perc",1.26,"O","control",NA
"post-freeze","OTB-101","tn_perc",0.138,"B","freeze-thaw",1
"post-freeze","OTB-102","tn_perc",0.143,"B","freeze-thaw",1
"post-freeze","OTB-103","tn_perc",0.137,"B","freeze-thaw",1
"post-freeze","OTB-104","tn_perc",0.136,"B","freeze-thaw",1
"post-freeze","OTB-105","tn_perc",0.136,"B","freeze-thaw",1
"post-freeze","OTB-201","tn_perc",0.136,"B","freeze-thaw",2
"post-freeze","OTB-202","tn_perc",0.129,"B","freeze-thaw",2
"post-freeze","OTB-203","tn_perc",0.133,"B","freeze-thaw",2
"post-freeze","OTB-204","tn_perc",0.135,"B","freeze-thaw",2
"post-freeze","OTB-205","tn_perc",0.142,"B","freeze-thaw",2
"post-freeze","OTB-301","tn_perc",0.137,"B","freeze-thaw",6
"post-freeze","OTB-302","tn_perc",0.139,"B","freeze-thaw",6
"post-freeze","OTB-303","tn_perc",0.135,"B","freeze-thaw",6
"post-freeze","OTB-304","tn_perc",0.138,"B","freeze-thaw",6
"post-freeze","OTB-305","tn_perc",0.131,"B","freeze-thaw",6
"post-freeze","OTB-401","tn_perc",0.143,"B","control",NA
"post-freeze","OTB-402","tn_perc",0.137,"B","control",NA
"post-freeze","OTB-403","tn_perc",0.14,"B","control",NA
"post-freeze","OTB-404","tn_perc",0.136,"B","control",NA
"post-freeze","OTB-405","tn_perc",0.136,"B","control",NA
"initial","OTO-101","weoc_mg_kg",232.03,"O","freeze-thaw",1
"initial","OTO-102","weoc_mg_kg",212.48,"O","freeze-thaw",1
"initial","OTO-103","weoc_mg_kg",238.85,"O","freeze-thaw",1
"initial","OTO-104","weoc_mg_kg",215.67,"O","freeze-thaw",1
"initial","OTO-105","weoc_mg_kg",207.16,"O","freeze-thaw",1
"initial","OTO-201","weoc_mg_kg",132.55,"O","freeze-thaw",2
"initial","OTO-202","weoc_mg_kg",126.67,"O","freeze-thaw",2
"initial","OTO-203","weoc_mg_kg",144.74,"O","freeze-thaw",2
"initial","OTO-204","weoc_mg_kg",141.46,"O","freeze-thaw",2
"initial","OTO-205","weoc_mg_kg",147.82,"O","freeze-thaw",2
"initial","OTO-301","weoc_mg_kg",252.56,"O","freeze-thaw",6
"initial","OTO-302","weoc_mg_kg",263.91,"O","freeze-thaw",6
"initial","OTO-303","weoc_mg_kg",236.17,"O","freeze-thaw",6
"initial","OTO-304","weoc_mg_kg",238,"O","freeze-thaw",6
"initial","OTO-305","weoc_mg_kg",251.74,"O","freeze-thaw",6
"initial","OTO-401","weoc_mg_kg",243.38,"O","control",NA
"initial","OTO-402","weoc_mg_kg",242.68,"O","control",NA
"initial","OTO-403","weoc_mg_kg",258.53,"O","control",NA
"initial","OTO-404","weoc_mg_kg",261.12,"O","control",NA
"initial","OTO-405","weoc_mg_kg",217.75,"O","control",NA
"initial","OTB-101","weoc_mg_kg",4.96,"B","freeze-thaw",1
"initial","OTB-102","weoc_mg_kg",3.31,"B","freeze-thaw",1
"initial","OTB-103","weoc_mg_kg",3.93,"B","freeze-thaw",1
"initial","OTB-104","weoc_mg_kg",1.76,"B","freeze-thaw",1
"initial","OTB-105","weoc_mg_kg",3.01,"B","freeze-thaw",1
"initial","OTB-201","weoc_mg_kg",3.64,"B","freeze-thaw",2
"initial","OTB-202","weoc_mg_kg",3.22,"B","freeze-thaw",2
"initial","OTB-203","weoc_mg_kg",2.39,"B","freeze-thaw",2
"initial","OTB-204","weoc_mg_kg",4.46,"B","freeze-thaw",2
"initial","OTB-205","weoc_mg_kg",3.73,"B","freeze-thaw",2
"initial","OTB-301","weoc_mg_kg",5.92,"B","freeze-thaw",6
"initial","OTB-302","weoc_mg_kg",3.53,"B","freeze-thaw",6
"initial","OTB-303","weoc_mg_kg",8,"B","freeze-thaw",6
"initial","OTB-304","weoc_mg_kg",5.61,"B","freeze-thaw",6
"initial","OTB-305","weoc_mg_kg",3.73,"B","freeze-thaw",6
"initial","OTB-401","weoc_mg_kg",5.08,"B","control",NA
"initial","OTB-402","weoc_mg_kg",3.83,"B","control",NA
"initial","OTB-403","weoc_mg_kg",4.56,"B","control",NA
"initial","OTB-404","weoc_mg_kg",3.73,"B","control",NA
"initial","OTB-405","weoc_mg_kg",4.04,"B","control",NA
"post-freeze","OTO-101","weoc_mg_kg",360.6,"O","freeze-thaw",1
"post-freeze","OTO-102","weoc_mg_kg",282.57,"O","freeze-thaw",1
"post-freeze","OTO-103","weoc_mg_kg",290.37,"O","freeze-thaw",1
"post-freeze","OTO-104","weoc_mg_kg",322.97,"O","freeze-thaw",1
"post-freeze","OTO-105","weoc_mg_kg",309.85,"O","freeze-thaw",1
"post-freeze","OTO-201","weoc_mg_kg",311.46,"O","freeze-thaw",2
"post-freeze","OTO-202","weoc_mg_kg",314.04,"O","freeze-thaw",2
"post-freeze","OTO-203","weoc_mg_kg",307.22,"O","freeze-thaw",2
"post-freeze","OTO-204","weoc_mg_kg",307.74,"O","freeze-thaw",2
"post-freeze","OTO-205","weoc_mg_kg",302.38,"O","freeze-thaw",2
"post-freeze","OTO-301","weoc_mg_kg",328.72,"O","freeze-thaw",6
"post-freeze","OTO-302","weoc_mg_kg",295.91,"O","freeze-thaw",6
"post-freeze","OTO-303","weoc_mg_kg",391.37,"O","freeze-thaw",6
"post-freeze","OTO-304","weoc_mg_kg",352.87,"O","freeze-thaw",6
"post-freeze","OTO-305","weoc_mg_kg",357.87,"O","freeze-thaw",6
"post-freeze","OTO-401","weoc_mg_kg",331.31,"O","control",NA
"post-freeze","OTO-402","weoc_mg_kg",351.94,"O","control",NA
"post-freeze","OTO-403","weoc_mg_kg",376.46,"O","control",NA
"post-freeze","OTO-404","weoc_mg_kg",347.67,"O","control",NA
"post-freeze","OTO-405","weoc_mg_kg",366.73,"O","control",NA
